ListingInfo_Day,ListingInfo_Month,ListingInfo_Year,ListingInfo_DayofYear,ListingInfo_DayofMonth,ListingInfo_DayofWeek
346,10,2014,286,13,0
232,6,2014,172,21,5
341,10,2014,281,8,2
240,6,2014,180,29,6
194,5,2014,134,14,2
306,9,2014,246,3,2
260,7,2014,200,19,5
333,9,2014,273,30,1
357,10,2014,297,24,4
283,8,2014,223,11,0
186,5,2014,126,6,1
124,3,2014,64,5,2
301,8,2014,241,29,4
283,8,2014,223,11,0
312,9,2014,252,9,1
250,7,2014,190,9,2
353,10,2014,293,20,0
273,8,2014,213,1,4
318,9,2014,258,15,0
366,11,2014,306,2,6
285,8,2014,225,13,2
197,5,2014,137,17,5
264,7,2014,204,23,2
117,2,2014,57,26,2
150,3,2014,90,31,0
341,10,2014,281,8,2
298,8,2014,238,26,1
210,5,2014,150,30,4
193,5,2014,133,13,1
119,2,2014,59,28,4
311,9,2014,251,8,0
333,9,2014,273,30,1
224,6,2014,164,13,4
256,7,2014,196,15,1
215,6,2014,155,4,2
312,9,2014,252,9,1
147,3,2014,87,28,4
264,7,2014,204,23,2
305,9,2014,245,2,1
330,9,2014,270,27,5
239,6,2014,179,28,5
320,9,2014,260,17,2
248,7,2014,188,7,0
188,5,2014,128,8,3
356,10,2014,296,23,3
131,3,2014,71,12,2
285,8,2014,225,13,2
353,10,2014,293,20,0
363,10,2014,303,30,3
324,9,2014,264,21,6
312,9,2014,252,9,1
133,3,2014,73,14,4
301,8,2014,241,29,4
218,6,2014,158,7,5
327,9,2014,267,24,2
285,8,2014,225,13,2
318,9,2014,258,15,0
291,8,2014,231,19,1
332,9,2014,272,29,0
353,10,2014,293,20,0
258,7,2014,198,17,3
197,5,2014,137,17,5
104,2,2014,44,13,3
194,5,2014,134,14,2
286,8,2014,226,14,3
312,9,2014,252,9,1
333,9,2014,273,30,1
152,4,2014,92,2,2
161,4,2014,101,11,4
341,10,2014,281,8,2
308,9,2014,248,5,4
331,9,2014,271,28,6
306,9,2014,246,3,2
321,9,2014,261,18,3
324,9,2014,264,21,6
171,4,2014,111,21,0
180,4,2014,120,30,2
208,5,2014,148,28,2
331,9,2014,271,28,6
314,9,2014,254,11,3
355,10,2014,295,22,2
359,10,2014,299,26,6
236,6,2014,176,25,2
342,10,2014,282,9,3
154,4,2014,94,4,4
264,7,2014,204,23,2
130,3,2014,70,11,1
244,7,2014,184,3,3
241,6,2014,181,30,0
235,6,2014,175,24,1
347,10,2014,287,14,1
292,8,2014,232,20,2
301,8,2014,241,29,4
347,10,2014,287,14,1
271,7,2014,211,30,2
285,8,2014,225,13,2
362,10,2014,302,29,2
128,3,2014,68,9,6
298,8,2014,238,26,1
344,10,2014,284,11,5
178,4,2014,118,28,0
270,7,2014,210,29,1
333,9,2014,273,30,1
310,9,2014,250,7,6
277,8,2014,217,5,1
272,7,2014,212,31,3
277,8,2014,217,5,1
269,7,2014,209,28,0
206,5,2014,146,26,0
310,9,2014,250,7,6
110,2,2014,50,19,2
164,4,2014,104,14,0
344,10,2014,284,11,5
172,4,2014,112,22,1
353,10,2014,293,20,0
